"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"268","0583_010604",583,18,10307,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0,0,0,0,0,0,0,0,0,0,0,0,0
"275","0623_000907",623,9,801,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","0623_000907",623,9,20301,20601,34.838,7.665,0,0,0,0,0,0,0,0,41.717,1.17,20.595,3.55073744893173,2.03679496695836,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.73093269034494,0.15785808461558,3.02509688218389,28,10,0,0,0,0,0,0,0,0,26,1,10
"277","0623_000907",623,9,25401,25701,0,12.429,12.005,42.003,0,0,0,0,0,0,0,0,77.411,-6.90775527898214,2.52011290552262,2.48540652482965,3.73776485184375,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.34914180733811,0,21,8,48,0,0,0,0,0,0,0,0,64
"278","0623_010606",623,18,26137,26437,40.969,28.675,0,0,0,0,0,0,0,0,26.423,1.739,32.836,3.71284009155878,3.35606053599063,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.27427268808849,0.553885113226438,3.49155592840163,46,40,0,0,0,0,0,0,0,0,20,2,27
"279","0623_010606",623,18,29137,29437,21.71,45.539,0,8.758,0,0,0,0,0,0,5.461,0,3.432,3.0778190445521,3.81859106063559,-6.90775527898214,2.17008174318095,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.69781502305151,-6.90775527898214,1.23343451447556,26,61,0,13,0,0,0,0,0,0,6,0,2
"280","0623_010606",623,18,37237,37537,29.425,19.92,0,0,0,0,0,0,0,0,16.994,0,14.007,3.38187863727576,2.99177445169965,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.83291918314808,-6.90775527898214,2.63962859498355,40,33,0,0,0,0,0,0,0,0,13,0,17
"287","0635_000903",635,9,3118,3418,1.716,59.098,0,0,0,0,0,0,0,0,12.017,1.384,30.604,0.540578581915338,4.07921400379513,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.48640552591174,0.325700139639302,3.42116339430303,4,58,0,0,0,0,0,0,0,0,16,2,30
"288","0635_000903",635,9,27418,27718,1,57.25,0,0,0,0,0,0,0,0,13.16,0.79,53.74,0.000999500333083423,4.04744510953071,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.57725791085219,-0.234457311214483,3.98417621112735,1,43,0,0,0,0,0,0,0,0,13,1,54
"289","0635_000903",635,9,34018,34318,0,50.129,44.2,0.494,0,0,0,0,0,0,39.692,0.842,127.622,-6.90775527898214,3.91461963127541,3.78874741326211,-0.703197516413447,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.68117484972838,-0.170788320980282,4.84908060545117,0,66,26,1,0,0,0,0,0,0,36,1,101
"290","0635_010603",635,18,1837,2137,29.094,19.33,11.162,0,0,0,0,0,0,0,36.922,1.427,48.179,3.37056633810863,2.96171002493955,2.4126047380326,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.6088346631049,0.356274863917393,3.87494399718673,39,31,8,0,0,0,0,0,0,0,29,1,47
"291","0635_010603",635,18,30337,30637,28.18,25.75,8.99,0,0,0,0,0,0,0,64.46,0.38,46.225,3.33864799200131,3.24847346130714,2.19622407700264,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.1660603897637,-0.964955903855436,3.8335424103545,34,26,5,0,0,0,0,0,0,0,45,1,37
"292","0635_010603",635,18,44437,44737,42.58,26.262,0,2.65,0,0,0,0,0,0,34.546,0.432,59.917,3.75140814439388,3.26816110454296,-6.90775527898214,0.974936927306888,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.5423207157635,-0.837017550979647,4.0929769608148,47,25,0,3,0,0,0,0,0,0,22,1,51
"293","0644_000909",644,9,2006,2306,0,8.13,1.02,0,0,0,0,0,0,0,0.79,0,48.38,-6.90775527898214,2.0956839172257,0.0207825391825284,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-0.234457311214483,-6.90775527898214,3.87910717466649,0,9,1,0,0,0,0,0,0,0,1,0,31
"300","0651_000908",651,9,18857,19157,19.79,29.542,7.463,0,0,0,0,0,0,0,7.525,0,7.471,2.98522728890884,3.38584682915721,2.01009146354504,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.01836369217125,-6.90775527898214,2.01116270092654,17,42,5,0,0,0,0,0,0,0,4,0,8
"301","0651_000908",651,9,25757,26057,4.352,23.943,41.292,0,0,0,0,0,0,0,13.913,1.025,14.461,1.47086526257016,3.1757177705504,3.72069299407625,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.63289552750145,0.0256677467485776,2.67152451975276,1,26,13,0,0,0,0,0,0,0,7,1,11
"302","0651_000908",651,9,32057,32357,11.225,25.545,9.823,0,0,0,0,0,0,0,2.81,0,76.428,2.41823251652001,3.24048074862059,2.28482837140479,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.03354029192439,-6.90775527898214,4.33636220530161,8,44,8,0,0,0,0,0,0,0,2,0,76
"303","0651_010608",651,18,3259,3559,51.269,19.633,0.569,0,20.766,0,0,8.095,0,0,10.294,0,8.236,3.93710578579561,2.97726275727033,-0.562118918153541,-6.90775527898214,3.03336518836084,-6.90775527898214,-6.90775527898214,2.09137011254511,-6.90775527898214,-6.90775527898214,2.33165834047975,-6.90775527898214,2.10863619995911,40,37,1,0,8,0,0,4,0,0,10,0,6
"304","0651_010608",651,18,5059,5359,28.38,12.469,0,0.46,0,0,0,0,0,0,0,2.01,6.79,3.34571990719287,2.52332575969195,-6.90775527898214,-0.774357235985488,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.698632110790515,1.91559820613165,28,20,0,1,0,0,0,0,0,0,0,2,8
"305","0651_010608",651,18,8959,9259,40.08,54.777,8.09,0,0,0,0,0,0,0,0,0,5.72,3.69090240656516,4.00328865349337,2.0907523328257,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.74414361528639,28,64,4,0,0,0,0,0,0,0,0,0,8
"313","0747_000901",747,9,24221,24521,7.022,40.206,0,1.23,0,0,0,0,0,0,6.106,0,42.971,1.94919047717688,3.69404110981945,-6.90775527898214,0.207826847202316,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.809435654241,-6.90775527898214,3.7605487408043,8,42,0,2,0,0,0,0,0,0,6,0,46
"314","0747_000901",747,9,37121,37421,58.426,28.249,0,0,0,0,0,0,0,0,3.135,0,26.037,4.06777811176029,3.34109345759245,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.14294810248816,-6.90775527898214,3.25955700947521,30,25,0,0,0,0,0,0,0,0,4,0,26
"315","0747_000901",747,9,42506,42806,19.365,53.305,0,17.137,0,0,0,0,0,0,79.562,0,60.495,2.96351895118934,3.9760488951927,-6.90775527898214,2.84129822024693,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.37654916066551,-6.90775527898214,4.10257724714858,11,50,0,15,0,0,0,0,0,0,45,0,60
"316","0747_010601a",747,18,5958,6258,60.327,11.18,0,0,0,0,0,0,0,0,17.53,0,17.287,4.09979634090035,2.41421590916523,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.86397074237174,-6.90775527898214,2.85001261920458,65,9,0,0,0,0,0,0,0,0,10,0,15
"317","0747_010601b",747,18,10,310,85.597,24.356,1.43,0,0,0,0,0,0,0,56.667,3.23,7.739,4.44966191838876,3.19281928254842,0.358373500574314,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.0372096775171,1.17279168684236,2.04640168760164,42,17,1,0,0,0,0,0,0,0,38,2,7
"318","0747_010601b",747,18,8700,9000,55.165,6.812,2.58,0,0,0,0,0,0,0,2.336,1.3,54.498,4.01034682148384,1.91883255179153,0.948176920736477,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.848868055556721,0.263133199530368,3.99818235287701,59,12,2,0,0,0,0,0,0,0,2,1,51
"324","0776_000911",776,9,36699,36999,1.827,57.903,0,0,0,0,0,0,0,0,50.93,0,11.249,0.603222473031958,4.05878646682139,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.93047177549661,-6.90775527898214,2.42036812865043,3,71,0,0,0,0,0,0,0,0,40,0,9
"325","0776_000911",776,9,38799,39099,6,44.591,2.578,4.098,0,0,0,0,0,0,8.966,0,0,1.79192612200738,3.79755447073959,0.947401726899208,1.4107430415222,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.19355117196991,-6.90775527898214,-6.90775527898214,4,61,5,6,0,0,0,0,0,0,8,0,0
