"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Child_C_X","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Child_C_X_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Child_C_X_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"92","0205_000302",205,3,24631,24931,0,15.81,53.8,0,15.81,0,0,0,0,0,0,25.468,21.65,25.196,0,2.82197394742052,4.00369019395397,0,2.82197394742052,0,0,0,0,0,0,3.27593645614981,3.12015985192904,3.26560672735581,0,42,24,0,42,0,0,0,0,0,0,21,22,25
"93","0205_000302",205,3,27631,27931,0,4.592,0,0,4.592,0,0,40.088,0,0,0,136.964,0,11.36,0,1.72133700493151,0,0,1.72133700493151,0,0,3.7157161080675,0,0,0,4.9269927815596,0,2.51446545202954,0,13,0,0,13,0,0,17,0,0,0,65,0,10
"94","0205_000602",205,6,10284,10584,0,102.528,0,0,102.528,0,0,0,0,0,0,4.509,3.09,1.855,0,4.63984210751937,0,0,4.63984210751937,0,0,0,0,0,0,1.70638311849058,1.40854497005471,1.04907184310797,0,41,0,0,41,0,0,0,0,0,0,3,2,2
"95","0205_000602",205,6,30084,30384,0,134.095,0,0,134.095,0,0,0,0,0,0,2.44,0,1.18,0,4.90597823465878,0,0,4.90597823465878,0,0,0,0,0,0,1.23547147138531,0,0.779324876800997,0,79,0,0,79,0,0,0,0,0,0,2,0,2
"96","0205_000602",205,6,36084,36384,6.05,65.695,0,0,71.745,0,0,0,0,0,0.942,1.318,0,2.992,1.95302761682418,4.20012998759301,0,0,4.28696017516735,0,0,0,0,0,0.663718369869133,0.84070474491756,0,1.38429235844922,6,99,0,0,105,0,0,0,0,0,1,2,0,4
"97","0205_000901",205,9,1504,1804,12.415,38.11,4.395,0,50.525,0,0,0,0,0,0,1.725,0.955,29.82,2.59637348387759,3.66637818876742,1.6854725987101,0,3.94206712677652,0,0,0,0,0,0,1.00246842811521,0.670390193437329,3.42816382989197,14,60,3,0,74,0,0,0,0,0,0,1,2,57
"98","0205_000901",205,9,3604,3904,27.328,33.653,0,0,60.981,0,0,0,0,0,0,2.763,0,9.82,3.3438507148096,3.54538430197465,0,0,4.1268278864663,0,0,0,0,0,0,1.3252165116113,0,2.38139627341834,23,46,0,0,69,0,0,0,0,0,0,3,0,12
"99","0205_000901",205,9,25204,25504,11.246,75.064,0,2.246,86.31,0,0,0,0,0,0,0,0,0,2.50519935305576,4.33157509117778,0,1.1774234690924,4.46946500382272,0,0,0,0,0,0,0,0,0,23,105,0,2,128,0,0,0,0,0,0,0,0,0
"100","0205_010601",205,18,15821,16121,53.658,36.88,0,0,90.538,0,0,0,0,0,0,28.559,0,14.953,4.00109559000247,3.63442326831788,0,0,4.51675418661452,0,0,0,0,0,0,3.38638826600845,0,2.76964689931886,52,21,0,0,73,0,0,0,0,0,0,26,0,19
"101","0205_010601",205,18,31721,32021,78.143,7.021,0,1.264,85.164,0,0,0,0,0,0,0,0,69.659,4.37125634274449,2.08206310238479,0,0.817133160340937,4.45625245702585,0,0,0,0,0,0,0,0,4.25786548955234,61,11,0,2,72,0,0,0,0,0,0,0,0,79
"102","0205_010601",205,18,39821,40121,80.55,32.467,0,1.135,113.017,0,0,0,0,0,0,2.895,0.584,8.659,4.40121632906702,3.51055987869928,0,0.758466646680588,4.73634756008381,0,0,0,0,0,0,1.35969367932271,0.459953293392234,2.26789012319716,60,32,0,2,92,0,0,0,0,0,0,4,1,8
"103","0223_000226",223,3,11203,11503,6.27,33.07,2.07,0,39.34,0,0,0,0,0,0,0,0,2.28,1.98375629154543,3.52841723167288,1.12167756159911,0,3.69734353252607,0,0,0,0,0,0,0,0,1.18784342239605,4,35,1,0,39,0,0,0,0,0,0,0,0,1
"104","0223_000226",223,3,13303,13603,1.98,30.443,79.8,0,32.423,0,0,0,0,0,0,0,0,5.29,1.09192330051731,3.44817638285615,4.39197696552705,0,3.50924428574529,0,0,0,0,0,0,0,0,1.83896107071235,3,55,74,0,58,0,0,0,0,0,0,0,0,10
"105","0223_000226",223,3,19303,19603,5.336,35.194,0,0,40.53,0,0,0,0,0,0,0,0,39.58,1.84624765451212,3.58889335923801,0,0,3.72641605764266,0,0,0,0,0,0,0,0,3.70327533439767,4,36,0,0,40,0,0,0,0,0,0,0,0,48
"106","0223_000600",223,6,2905,3205,0,56.788,0,2.4,56.788,0,0,0,0,0,0,0.995,3.106,30.665,0,4.05678114166713,0,1.22377543162212,4.05678114166713,0,0,0,0,0,0,0.690644050341827,1.41244931859674,3.45521196996839,0,43,0,2,43,0,0,0,0,0,0,1,2,30
"107","0223_000600",223,6,14605,14905,29.577,63.52,0,0,93.097,0,0,0,0,0,0,0,0,50.724,3.42024809235296,4.16697525325701,0,0,4.54432616510544,0,0,0,0,0,0,0,0,3.94592189043361,24,61,0,0,85,0,0,0,0,0,0,0,0,61
"108","0223_000600",223,6,22405,22705,15.751,50.221,0,0,65.972,0,0,0,0,0,0,0,0,54.206,2.81845795798155,3.93614960420438,0,0,4.2042746215943,0,0,0,0,0,0,0,0,4.01107164302828,13,40,0,0,53,0,0,0,0,0,0,0,0,46
"109","0223_000905",223,9,326,626,18.813,12.255,0,0,31.068,0,0,0,0,0,0,0.731,0,23.266,2.98633828791212,2.58437483974099,0,0,3.46785864818071,0,0,0,0,0,0,0.548699276194072,0,3.18907619362968,24,21,0,0,45,0,0,0,0,0,0,1,0,21
