"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"126","0225_010601",225,18,33796,34096,8.43,38.344,19.422,0,0,0,0,0,0,0,10.45,0.44,8.096,2.13191538894054,3.64662414121682,2.96645793085,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.34669766761237,-0.818710403535291,2.09149362270398,6,29,12,0,0,0,0,0,0,0,11,1,7
"127","0225_010601",225,18,36196,36496,4.203,36.525,1.901,0,0,0,0,0,0,0,33.347,0,5.429,1.4360364530147,3.59802433576985,0.642905964123199,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.50699780054837,-6.90775527898214,1.69193913394584,3,37,1,0,0,0,0,0,0,0,23,0,6
"137","0236_010600",236,18,2790,3090,6.673,31.256,0,0.465,0,0,0,0,0,0,4.277,0.859,95.221,1.89821938032918,3.44224335109816,-6.90775527898214,-0.763569644856491,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.45348561066021,-0.150822889734584,4.55621100753655,8,33,0,1,0,0,0,0,0,0,6,1,77
"138","0236_010600",236,18,31880,32180,15.393,13.647,37.09,0.324,0,0,0,0,0,0,77.543,1.495,35.006,2.73397782311213,2.61359299074932,3.61337435258318,-1.1239300966524,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.35084551719031,0.402794879552285,3.55554804149208,12,13,20,1,0,0,0,0,0,0,59,2,31
"139","0236_010600",236,18,40580,40880,54.076,41.864,0.517,0.488,0,0,0,0,0,5.978,106.341,0,17.643,3.99040895682322,3.73445015565639,-0.657780036722654,-0.715392789507265,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.78825332989877,4.6666603154976,-6.90775527898214,2.87039578224269,38,40,1,1,0,0,0,0,0,3,86,0,16
"149","0274_010611",274,18,10446,10746,1.441,26.256,0,17.126,0,0,0,0,0,0,16.478,5.729,6.136,0.366031038862757,3.26793262015506,-6.90775527898214,2.84065616565023,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,2.80208684302859,1.74571553072665,1.81433602340696,2,21,0,6,0,0,0,0,0,0,15,5,5
"150","0274_010611",274,18,28746,29046,3.446,12.513,0,0,0,0,0,0,0,0,26.024,0.403,25.19,1.23750428753473,2.52684801757617,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,3.25905761450103,-0.906340401020987,3.22648678786954,4,22,0,0,0,0,0,0,0,0,27,1,31
"151","0274_010611",274,18,32346,32646,1.856,53.487,0,0,0,0,0,0,0,2.586,11.969,0,0,0.618962282370569,3.97945732967774,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.950498903203892,2.48240351956988,-6.90775527898214,-6.90775527898214,3,33,0,0,0,0,0,0,0,1,17,0,0
"161","0275_010606",275,18,15181,15481,17.923,12.322,0,0,0,0,0,0,0,0,5.121,0,0,2.8861405969239,2.51146743495599,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.63354498777733,-6.90775527898214,-6.90775527898214,19,21,0,0,0,0,0,0,0,0,8,0,0
"162","0275_010606",275,18,17881,18181,15.6,27.557,0,1.1,0,0,0,0,0,0,3.832,0,3.744,2.74733501476511,3.31629287457171,-6.90775527898214,0.0962188577405429,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.34364778639842,-6.90775527898214,1.32042161696918,13,29,0,1,0,0,0,0,0,0,5,0,2
"163","0275_010606",275,18,42481,42781,12.259,5.431,0,0,0,0,0,0,0,0,62.996,0,6.8,2.50634193050807,1.69230739025639,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.14308710621009,-6.90775527898214,1.9170696601935,10,5,0,0,0,0,0,0,0,0,55,0,6
"170","0300_010605",300,18,1784,2084,1.733,3.865,0,0,0,0,0,0,0,0,85.636,4.346,28.424,0.55043087835835,1.35222038078614,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.45011743274826,1.46948595200666,3.3472690396366,2,8,0,0,0,0,0,0,0,0,59,5,31
"171","0300_010605",300,18,3584,3884,0,2.863,0,0,0,0,0,0,0,0,76.93,0,35.924,-6.90775527898214,1.0522192490984,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.34290891621646,-6.90775527898214,3.58143343196509,0,4,0,0,0,0,0,0,0,0,62,0,24
